gene1	KVP18_000001	KAH0475680.1
gene2	KVP18_000002	KAH0475681.1
gene3	KVP18_000003	KAH0487114.1
gene4	KVP18_000004	KAH0487115.1
gene4	KVP18_000004	KAH0487116.1
gene4	KVP18_000004	KAH0487117.1
gene5	KVP18_000005	KAH0487118.1
gene5	KVP18_000005	KAH0487119.1
gene5	KVP18_000005	KAH0487120.1
gene6	KVP18_000006	KAH0487121.1
gene7	KVP18_000007	KAH0487122.1
gene8	KVP18_000008	KAH0487123.1
gene9	KVP18_000009	KAH0487124.1
gene10	KVP18_000010	KAH0487125.1
gene10	KVP18_000010	KAH0487126.1
gene10	KVP18_000010	KAH0487127.1
gene10	KVP18_000010	KAH0487128.1
gene11	KVP18_000011	KAH0487129.1
gene11	KVP18_000011	KAH0487130.1
gene11	KVP18_000011	KAH0487131.1
gene12	KVP18_000012	KAH0487132.1
gene13	KVP18_000013	KAH0487133.1
gene13	KVP18_000013	KAH0487134.1
gene13	KVP18_000013	KAH0487135.1
gene14	KVP18_000014	KAH0487136.1
gene15	KVP18_000015	KAH0487137.1
gene15	KVP18_000015	KAH0487138.1
gene16	KVP18_000016	KAH0487139.1
gene17	KVP18_000017	KAH0487140.1
gene17	KVP18_000017	KAH0487141.1
gene17	KVP18_000017	KAH0487142.1
gene18	KVP18_000018	KAH0487143.1
gene19	KVP18_000019	KAH0487144.1
gene20	KVP18_000020	KAH0487145.1
gene21	KVP18_000021	KAH0487146.1
gene21	KVP18_000021	KAH0487147.1
gene21	KVP18_000021	KAH0487148.1
gene22	KVP18_000022	KAH0487149.1
gene23	KVP18_000023	KAH0487150.1
gene23	KVP18_000023	KAH0487151.1
gene24	KVP18_000024	KAH0487152.1
gene25	KVP18_000025	KAH0487153.1
gene26	KVP18_000026	KAH0487154.1
gene27	KVP18_000027	KAH0487155.1
gene28	KVP18_000028	KAH0487156.1
gene29	KVP18_000029	KAH0487157.1
gene52	KVP18_000030	KAH0477585.1
gene53	KVP18_000031	KAH0477586.1
gene53	KVP18_000031	KAH0477587.1
gene53	KVP18_000031	KAH0477588.1
gene54	KVP18_000032	KAH0477589.1
gene55	KVP18_000033	KAH0477590.1
gene55	KVP18_000033	KAH0477591.1
gene56	KVP18_000034	KAH0477592.1
gene56	KVP18_000034	KAH0477593.1
gene57	KVP18_000035	KAH0477594.1
gene58	KVP18_000036	KAH0477595.1
gene58	KVP18_000036	KAH0477596.1
gene58	KVP18_000036	KAH0477597.1
gene58	KVP18_000036	KAH0477598.1
gene59	KVP18_000037	KAH0477599.1
gene60	KVP18_000038	KAH0477600.1
gene61	KVP18_000039	KAH0477601.1
gene61	KVP18_000039	KAH0477602.1
gene61	KVP18_000039	KAH0477603.1
gene62	KVP18_000040	KAH0483892.1
gene62	KVP18_000040	KAH0483893.1
gene72	KVP18_000041	KAH0483497.1
gene73	KVP18_000042	KAH0483498.1
gene74	KVP18_000043	KAH0483499.1
gene74	KVP18_000043	KAH0483500.1
gene75	KVP18_000044	KAH0483501.1
gene75	KVP18_000044	KAH0483502.1
gene83	KVP18_000045	KAH0471505.1
gene83	KVP18_000045	KAH0471506.1
gene84	KVP18_000046	KAH0476242.1
gene85	KVP18_000047	KAH0476243.1
gene86	KVP18_000048	KAH0476244.1
gene86	KVP18_000048	KAH0476245.1
gene87	KVP18_000049	KAH0476246.1
gene88	KVP18_000050	KAH0476247.1
gene89	KVP18_000051	KAH0476248.1
gene89	KVP18_000051	KAH0476249.1
gene89	KVP18_000051	KAH0476250.1
gene90	KVP18_000052	KAH0476251.1
gene91	KVP18_000053	KAH0476252.1
gene91	KVP18_000053	KAH0476253.1
gene92	KVP18_000054	KAH0476254.1
gene92	KVP18_000054	KAH0476255.1
gene93	KVP18_000055	KAH0476256.1
gene95	KVP18_000056	KAH0484606.1
gene96	KVP18_000057	KAH0484607.1
gene97	KVP18_000058	KAH0484608.1
gene98	KVP18_000059	KAH0484609.1
gene98	KVP18_000059	KAH0484610.1
gene98	KVP18_000059	KAH0484611.1
