orthoGp4550: TxB|gene10002_TxB
orthoGp4551: TxB|gene10021_TxB
orthoGp4552: TxB|gene10025_TxB
orthoGp4553: TxB|gene10034_TxB
orthoGp4554: TxB|gene10040_TxB
orthoGp4555: TxB|gene10047_TxB
orthoGp4556: TxB|gene10077_TxB
orthoGp4557: TxB|gene10079_TxB
orthoGp4558: TxB|gene10083_TxB
orthoGp4559: TxB|gene10086_TxB
orthoGp4560: TxB|gene10094_TxB
orthoGp4561: TxB|gene10095_TxB
orthoGp4562: TxB|gene10102_TxB
orthoGp4563: TxB|gene10128_TxB
orthoGp4564: TxB|gene10174_TxB
orthoGp4565: TxB|gene10188_TxB
orthoGp4566: TxB|gene10190_TxB
orthoGp4567: TxB|gene10198_TxB
orthoGp4568: TxB|gene10201_TxB
orthoGp4569: TxB|gene10225_TxB
orthoGp4570: TxB|gene10247_TxB
orthoGp4571: TxB|gene10251_TxB
orthoGp4572: TxB|gene10261_TxB
orthoGp4573: TxB|gene10262_TxB
orthoGp4574: TxB|gene10277_TxB
orthoGp4575: TxB|gene10285_TxB
orthoGp4576: TxB|gene10297_TxB
orthoGp4577: TxB|gene10309_TxB
orthoGp4578: TxB|gene10328_TxB
orthoGp4579: TxB|gene10329_TxB
orthoGp4580: TxB|gene10338_TxB
orthoGp4581: TxB|gene10340_TxB
orthoGp4582: TxB|gene10345_TxB
orthoGp4583: TxB|gene10346_TxB
orthoGp4584: TxB|gene10365_TxB
orthoGp4585: TxB|gene10376_TxB
orthoGp4586: TxB|gene10377_TxB
orthoGp4587: TxB|gene10405_TxB
orthoGp4588: TxB|gene10406_TxB
orthoGp4589: TxB|gene10430_TxB
orthoGp4590: TxB|gene10431_TxB
orthoGp4591: TxB|gene10434_TxB
orthoGp4592: TxB|gene10435_TxB
orthoGp4593: TxB|gene10437_TxB
orthoGp4594: TxB|gene10440_TxB
orthoGp4595: TxB|gene10442_TxB
orthoGp4596: TxB|gene10445_TxB
orthoGp4597: TxB|gene10450_TxB
orthoGp4598: TxB|gene10467_TxB
orthoGp4599: TxB|gene10471_TxB
orthoGp4600: TxB|gene10472_TxB
orthoGp4601: TxB|gene10478_TxB
orthoGp4602: TxB|gene10481_TxB
orthoGp4603: TxB|gene10486_TxB
orthoGp4604: TxB|gene10487_TxB
orthoGp4605: TxB|gene10512_TxB
orthoGp4606: TxB|gene10520_TxB
orthoGp4607: TxB|gene10525_TxB
orthoGp4608: TxB|gene10530_TxB
orthoGp4609: TxB|gene10535_TxB
orthoGp4610: TxB|gene10540_TxB
orthoGp4611: TxB|gene10541_TxB
orthoGp4612: TxB|gene10559_TxB
orthoGp4613: TxB|gene10575_TxB
orthoGp4614: TxB|gene10577_TxB
orthoGp4615: TxB|gene10589_TxB
orthoGp4616: TxB|gene1058_TxB
orthoGp4617: TxB|gene10597_TxB
orthoGp4618: TxB|gene10611_TxB
orthoGp4619: TxB|gene10614_TxB
orthoGp4620: TxB|gene10628_TxB
orthoGp4621: TxB|gene1105_TxB
orthoGp4622: TxB|gene1107_TxB
orthoGp4623: TxB|gene1111_TxB
orthoGp4624: TxB|gene1114_TxB
orthoGp4625: TxB|gene1119_TxB
orthoGp4626: TxB|gene1167_TxB
orthoGp4627: TxB|gene1175_TxB
orthoGp4628: TxB|gene1209_TxB
orthoGp4629: TxB|gene1213_TxB
orthoGp4630: TxB|gene1216_TxB
orthoGp4631: TxB|gene1223_TxB
orthoGp4632: TxB|gene1281_TxB
orthoGp4633: TxB|gene1282_TxB
orthoGp4634: TxB|gene1332_TxB
orthoGp4635: TxB|gene1334_TxB
orthoGp4636: TxB|gene1336_TxB
orthoGp4637: TxB|gene1339_TxB
orthoGp4638: TxB|gene1341_TxB
orthoGp4639: TxB|gene1363_TxB
orthoGp4640: TxB|gene1394_TxB
orthoGp4641: TxB|gene1395_TxB
orthoGp4642: TxB|gene1396_TxB
orthoGp4643: TxB|gene1399_TxB
orthoGp4644: TxB|gene1412_TxB
orthoGp4645: TxB|gene1418_TxB
orthoGp4646: TxB|gene1422_TxB
orthoGp4647: TxB|gene1428_TxB
orthoGp4648: TxB|gene1429_TxB
orthoGp4649: TxB|gene1432_TxB
orthoGp4650: TxB|gene1439_TxB
orthoGp4651: TxB|gene1445_TxB
orthoGp4652: TxB|gene145_TxB
orthoGp4653: TxB|gene1483_TxB
orthoGp4654: TxB|gene1495_TxB
orthoGp4655: TxB|gene1499_TxB
orthoGp4656: TxB|gene1501_TxB
orthoGp4657: TxB|gene1614_TxB
orthoGp4658: TxB|gene1699_TxB
orthoGp4659: TxB|gene1709_TxB
orthoGp4660: TxB|gene1710_TxB
orthoGp4661: TxB|gene1723_TxB
orthoGp4662: TxB|gene1725_TxB
orthoGp4663: TxB|gene1730_TxB
orthoGp4664: TxB|gene1787_TxB
orthoGp4665: TxB|gene1789_TxB
orthoGp4666: TxB|gene1802_TxB
orthoGp4667: TxB|gene1825_TxB
orthoGp4668: TxB|gene1838_TxB
orthoGp4669: TxB|gene1839_TxB
orthoGp4670: TxB|gene1850_TxB
orthoGp4671: TxB|gene1864_TxB
orthoGp4672: TxB|gene189_TxB
orthoGp4673: TxB|gene1926_TxB
orthoGp4674: TxB|gene1939_TxB
orthoGp4675: TxB|gene195_TxB
orthoGp4676: TxB|gene196_TxB
orthoGp4677: TxB|gene2042_TxB
orthoGp4678: TxB|gene2070_TxB
orthoGp4679: TxB|gene2112_TxB
orthoGp4680: TxB|gene2114_TxB
orthoGp4681: TxB|gene2119_TxB
orthoGp4682: TxB|gene2122_TxB
orthoGp4683: TxB|gene2124_TxB
orthoGp4684: TxB|gene2129_TxB
orthoGp4685: TxB|gene2148_TxB
orthoGp4686: TxB|gene2149_TxB
orthoGp4687: TxB|gene2170_TxB
orthoGp4688: TxB|gene2193_TxB
orthoGp4689: TxB|gene219_TxB
orthoGp4690: TxB|gene2235_TxB
orthoGp4691: TxB|gene2250_TxB
orthoGp4692: TxB|gene2300_TxB
orthoGp4693: TxB|gene2308_TxB
orthoGp4694: TxB|gene2366_TxB
orthoGp4695: TxB|gene2367_TxB
orthoGp4696: TxB|gene2379_TxB
orthoGp4697: TxB|gene237_TxB
orthoGp4698: TxB|gene2383_TxB
orthoGp4699: TxB|gene2384_TxB
orthoGp4700: TxB|gene2410_TxB
orthoGp4701: TxB|gene2416_TxB
orthoGp4702: TxB|gene2421_TxB
orthoGp4703: TxB|gene2432_TxB
orthoGp4704: TxB|gene2498_TxB
orthoGp4705: TxB|gene2500_TxB
orthoGp4706: TxB|gene2524_TxB
orthoGp4707: TxB|gene2525_TxB
orthoGp4708: TxB|gene2526_TxB
orthoGp4709: TxB|gene2545_TxB
orthoGp4710: TxB|gene2556_TxB
orthoGp4711: TxB|gene2563_TxB
orthoGp4712: TxB|gene2585_TxB
orthoGp4713: TxB|gene2594_TxB
orthoGp4714: TxB|gene2606_TxB
orthoGp4715: TxB|gene2613_TxB
orthoGp4716: TxB|gene2618_TxB
orthoGp4717: TxB|gene2676_TxB
orthoGp4718: TxB|gene2711_TxB
orthoGp4719: TxB|gene2747_TxB
orthoGp4720: TxB|gene2751_TxB
orthoGp4721: TxB|gene2843_TxB
orthoGp4722: TxB|gene2846_TxB
orthoGp4723: TxB|gene2871_TxB
orthoGp4724: TxB|gene2875_TxB
orthoGp4725: TxB|gene2876_TxB
orthoGp4726: TxB|gene2882_TxB
orthoGp4727: TxB|gene2935_TxB
orthoGp4728: TxB|gene2944_TxB
orthoGp4729: TxB|gene2949_TxB
orthoGp4730: TxB|gene2956_TxB
orthoGp4731: TxB|gene3007_TxB
orthoGp4732: TxB|gene3017_TxB
orthoGp4733: TxB|gene3027_TxB
orthoGp4734: TxB|gene3038_TxB
orthoGp4735: TxB|gene3063_TxB
orthoGp4736: TxB|gene3067_TxB
orthoGp4737: TxB|gene3079_TxB
orthoGp4738: TxB|gene3122_TxB
orthoGp4739: TxB|gene3155_TxB
orthoGp4740: TxB|gene3164_TxB
orthoGp4741: TxB|gene3254_TxB
orthoGp4742: TxB|gene3276_TxB
orthoGp4743: TxB|gene3295_TxB
orthoGp4744: TxB|gene3299_TxB
orthoGp4745: TxB|gene3313_TxB
orthoGp4746: TxB|gene3322_TxB
orthoGp4747: TxB|gene3396_TxB
orthoGp4748: TxB|gene3439_TxB
orthoGp4749: TxB|gene343_TxB
orthoGp4750: TxB|gene3456_TxB
orthoGp4751: TxB|gene3525_TxB
orthoGp4752: TxB|gene3536_TxB
orthoGp4753: TxB|gene3583_TxB
orthoGp4754: TxB|gene35_TxB
orthoGp4755: TxB|gene3615_TxB
orthoGp4756: TxB|gene3617_TxB
orthoGp4757: TxB|gene361_TxB
orthoGp4758: TxB|gene3624_TxB
orthoGp4759: TxB|gene3633_TxB
orthoGp4760: TxB|gene3637_TxB
orthoGp4761: TxB|gene3639_TxB
orthoGp4762: TxB|gene3654_TxB
orthoGp4763: TxB|gene3656_TxB
orthoGp4764: TxB|gene3658_TxB
orthoGp4765: TxB|gene3667_TxB
orthoGp4766: TxB|gene3676_TxB
orthoGp4767: TxB|gene3677_TxB
orthoGp4768: TxB|gene3765_TxB
orthoGp4769: TxB|gene3783_TxB
orthoGp4770: TxB|gene3785_TxB
orthoGp4771: TxB|gene3791_TxB
orthoGp4772: TxB|gene3812_TxB
orthoGp4773: TxB|gene3816_TxB
orthoGp4774: TxB|gene3817_TxB
orthoGp4775: TxB|gene3822_TxB
orthoGp4776: TxB|gene3823_TxB
orthoGp4777: TxB|gene3824_TxB
orthoGp4778: TxB|gene3825_TxB
orthoGp4779: TxB|gene3828_TxB
orthoGp4780: TxB|gene3837_TxB
orthoGp4781: TxB|gene3855_TxB
orthoGp4782: TxB|gene3875_TxB
orthoGp4783: TxB|gene3883_TxB
orthoGp4784: TxB|gene3927_TxB
orthoGp4785: TxB|gene3939_TxB
orthoGp4786: TxB|gene3945_TxB
orthoGp4787: TxB|gene3980_TxB
orthoGp4788: TxB|gene4015_TxB
orthoGp4789: TxB|gene4032_TxB
orthoGp4790: TxB|gene4043_TxB
orthoGp4791: TxB|gene4061_TxB
orthoGp4792: TxB|gene4064_TxB
orthoGp4793: TxB|gene4090_TxB
orthoGp4794: TxB|gene4111_TxB
orthoGp4795: TxB|gene4200_TxB
orthoGp4796: TxB|gene4207_TxB
orthoGp4797: TxB|gene4209_TxB
orthoGp4798: TxB|gene4221_TxB
orthoGp4799: TxB|gene4228_TxB
orthoGp4800: TxB|gene425_TxB
orthoGp4801: TxB|gene4263_TxB
orthoGp4802: TxB|gene4286_TxB
orthoGp4803: TxB|gene4387_TxB
orthoGp4804: TxB|gene4388_TxB
orthoGp4805: TxB|gene4389_TxB
orthoGp4806: TxB|gene4390_TxB
orthoGp4807: TxB|gene4391_TxB
orthoGp4808: TxB|gene4393_TxB
orthoGp4809: TxB|gene4427_TxB
orthoGp4810: TxB|gene4430_TxB
orthoGp4811: TxB|gene4462_TxB
orthoGp4812: TxB|gene4464_TxB
orthoGp4813: TxB|gene4468_TxB
orthoGp4814: TxB|gene4470_TxB
orthoGp4815: TxB|gene4494_TxB
orthoGp4816: TxB|gene4501_TxB
orthoGp4817: TxB|gene4519_TxB
orthoGp4818: TxB|gene452_TxB
orthoGp4819: TxB|gene4557_TxB
orthoGp4820: TxB|gene4613_TxB
orthoGp4821: TxB|gene4630_TxB
orthoGp4822: TxB|gene4634_TxB
orthoGp4823: TxB|gene4700_TxB
orthoGp4824: TxB|gene4701_TxB
orthoGp4825: TxB|gene4702_TxB
orthoGp4826: TxB|gene4703_TxB
orthoGp4827: TxB|gene4752_TxB
orthoGp4828: TxB|gene4754_TxB
orthoGp4829: TxB|gene4759_TxB
